Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вдовенко,Оксана,Андріївна,Жінка,1980-05-14,Лікар,селище Рудки,"проспект Конструкторський, буд. 362 кв. 249, Сарни, 37953",684-97-05,jvasylevych@example.org
Василевич,Розалія,Олександрівна,Жінка,1972-04-22,Астрофізик,селище Городище,"вулиця Рачкова, буд. 5, Жовква, 95431",+380 31 437-69-37,vasylashkoboleslav@example.net
Сацюк,Аркадій,Дмитрович,Чоловік,1958-03-02,Ріелтор,село Шахтарськ,"набережна 13-та ст. Великого Фонтану пляж, буд. 803, П'ятихатки, 15821",060 298 99 99,itychyna@example.net
Ткаченко,Макар,Дмитрович,Чоловік,1967-03-21,Електрослюсар,місто Сокиряни,"шосе Педагогічна, буд. 51, Мала Виска, 67533",076 551 34 16,artiukhmariia@example.com
Василечко,Аркадій,Дмитрович,Чоловік,1940-04-18,Промисловець,місто Тячів,"площа Молокова, буд. 16, Немирів, 29992",+380 70 127-74-70,eshvachko@example.org
Литвин,Одарка,Тимофіївна,Жінка,1971-03-21,Стоматолог,село Вовчанськ,"сквер 1-ша Лінія Марії Демченко, буд. 72, Сторожинець, 91300",+380 63 081 79 77,cperepelytsia@example.com
Вітрук,Гаврило,Дмитрович,Чоловік,1985-04-01,Науковець,хутір Южноукраїнськ,"узвіз Донорська, буд. 2, Радехів, 33849",245 59 21,iefymenkoliliia@example.org
Парасюк,Лукʼян,Андрійович,Чоловік,1986-05-07,Ботанік,село Бобринець,"площа Аграрна, буд. 824 кв. 460, Новодністровськ, 84473",+380 84 371-40-44,iaroslavazhazha@example.org
Дзюба,Борис,Ігорович,Чоловік,1987-07-02,Сантехнік,селище Надвірна,"вулиця Бахчисарайська, буд. 957 кв. 13, Новий Калинів, 55481",+380 22 386 25 51,vanchenkoteodor@example.com
Луценко,Ілля,Миколайович,Чоловік,1961-03-26,Електромонтажник,село Тернівка,"проспект Картамишевський, буд. 1 кв. 67, Городня, 90346",952 78 65,kadeniukpanteleimon@example.com
Романець,Демʼян,Максимович,Чоловік,2000-04-03,Підприємець,селище Городенка,"площа Хаджибейський 3-й, буд. 92, Берестечко, 73200",+380 69 178-24-40,rzaruba@example.org
Барабаш,Варвара,Іванівна,Жінка,1945-10-08,Піаніст,селище Алушта,"узвіз Хаджибейський, буд. 55, Христинівка, 52340",003 531 77 15,zvdovenko@example.org
Ковалюк,Єфрем,Тимофійович,Чоловік,1980-01-10,Штукатур,місто Хорол,"вулиця Лінія 42-га, буд. 577 кв. 89, Алушта, 16145",+380 27 044 08 87,andriiiesypenko@example.com
Тесленко,Микита,Романович,Чоловік,1986-10-24,Лікар,село Глиняни,"вулиця Книжковий, буд. 5 кв. 251, Теребовля, 66370",+380 (81) 548-78-14,zievdokymenko@example.net
Рева,Мирон,Федорович,Чоловік,1972-01-24,Кур'єр,місто Єнакієве,"проспект Куниці, буд. 02 кв. 226, Середина-Буда, 76497",099 131-88-92,antonderehus@example.org
Лукаш,Соломон,Миколайович,Чоловік,1954-06-27,Штукатур,селище Алупка,"парк Лінія 30-та, буд. 078, Хуст, 91428",+380 55 356-18-65,frantsdatsenko@example.org
Чумаченко,Опанас,Богданович,Чоловік,1952-10-30,Перекладач,село Вижниця,"узвіз Аеродромна, буд. 06, Славута, 05854",095 573-61-66,snizhanahavrysh@example.org
Лемешко,Богуслав,Олегович,Чоловік,1950-11-30,Клавішник,селище Мена,"площа Регенсбург, буд. 85 кв. 48, Жовква, 33604",+380 72 338-72-69,kostiantyn86@example.org
Алексійчук,Камілла,Юріївна,Жінка,1967-07-15,Мінералог,село Нова Одеса,"проспект Соляний 3-й, буд. 3, Калинівка, 61368",+380 61 944-48-30,iaroslav67@example.net
Калениченко,Лілія,Романівна,Жінка,1954-04-19,Сантехнік,хутір Козятин,"проспект Проектований 4-й, буд. 3, Хмельницький, 40806",537-89-73,fastenkotrokhym@example.net
Рак,Симон,Павлович,Чоловік,1940-06-14,Шериф,місто Луганськ,"набережна Юрія Коваленка, буд. 30, Батурин, 36050",+380 (18) 454-43-88,sviatoslavaatamaniuk@example.com
Кальченко,Надія,Іванівна,Жінка,1945-10-16,Агроном,селище Ізмаїл,"провулок Різовська, буд. 22, Стебник, 21747",+380 29 407-97-16,bbaidak@example.net
Козак,Варвара,Олександрівна,Жінка,1973-10-27,Астроном,село Верхівцеве,"проспект Десята, буд. 65, Буськ, 98324",+380 67 764-20-28,boryssuprunenko@example.net
Філіпенко,Марʼяна,Богданівна,Жінка,2003-05-31,Фрілансер,хутір Синельникове,"вулиця Світанку, буд. 61, Кривий Ріг, 76809",+380 (63) 529-30-12,venedykt46@example.net
Арсенич,Опанас,Георгійович,Чоловік,1974-10-03,Ботанік,хутір Міусинськ,"узвіз Морехідна, буд. 252, Тетіїв, 66070",+380 (84) 434-81-07,vvysochan@example.com
Бакуменко,Святослава,Петрівна,Жінка,1975-08-21,Ветеринар,село Шептицький,"парк Юрія Кондратюка, буд. 08, Малин, 20606",+380 70 661-97-05,ihor43@example.org
Дараган,Еріка,Миколаївна,Жінка,1946-12-19,Астроном,хутір Конотоп,"парк Скляний 1-й, буд. 64 кв. 802, Баштанка, 57752",000 266-02-44,nzharko@example.net
Левченко,Володимира,Богданівна,Жінка,1957-02-07,Флорист,місто Суми,"сквер Польський узвіз, буд. 12 кв. 8, Попасна, 76510",975 92 80,umanetsavrelii@example.net
Кабаненко,Петро,Андрійович,Чоловік,1967-03-29,Астроном,хутір Глобине,"площа Трудовий, буд. 41, Перечин, 97959",238 13 19,matiashsolomiia@example.org
Михайлюк,Кирило,Максимович,Чоловік,1972-05-02,Фотограф,місто Сміла,"проспект Йозефа Прибіка, буд. 23 кв. 3, Вуглегірськ, 21856",+380 (29) 877-09-78,mariiababych@example.net
Гайденко,Святослава,Дмитрівна,Жінка,1960-09-14,Кінорежисер,хутір Сколе,"провулок Садова 3-тя, буд. 9 кв. 249, Роздільна, 15646",060 863-19-06,mykhailo07@example.org
Бараник,Сергій,Петрович,Чоловік,1975-02-24,Мовознавець,село Новомиргород,"проспект Івасюка Володимира, буд. 4 кв. 0, Хмільник, 50656",+380 50 819 37 92,qperebyinis@example.com
Бабенко,Марта,Сергіївна,Жінка,1942-10-11,Головний меркшейдер,село Сорокине,"сквер Батуринська, буд. 571 кв. 8, Боярка, 97305",+380 42 907-29-58,babenkomykyta@example.com
Супруненко,Лілія,Дмитрівна,Жінка,1974-01-29,Дипломат,селище Біла Церква,"набережна Петра Калнишевського, буд. 007, Теребовля, 33119",+380 (42) 202-41-91,vmamchur@example.org
Рубан,Софія,Богданівна,Жінка,1979-08-19,Паралегал,місто Соледар,"набережна Малинова, буд. 672 кв. 148, Калуш, 43034",527 49 90,iaroslava35@example.net
Ванченко,Федір,Олегович,Чоловік,2007-11-04,Етнограф,селище Лиман,"парк Астрономічна, буд. 98, Буча, 02031",+380 26 848 11 25,durdynetsodarka@example.net
Затовканюк,Аврелій,Андрійович,Чоловік,1995-10-04,Дизайнер,селище Українка,"вулиця Поліська, буд. 6, Корсунь-Шевченківський, 23676",296-49-08,kostiantyn40@example.net
Дрозденко,Лілія,Романівна,Жінка,1955-06-02,Ботанік,селище Старий Самбір,"набережна Лінія 36-та, буд. 16 кв. 9, Нове Давидково, 93193",+380 (92) 657-64-37,boryslavcherednyk@example.org
Романець,Богуслав,Андрійович,Чоловік,1985-11-14,Фольклорист,хутір Знам'янка,"проспект Цимлянська, буд. 20, Буча, 33040",040 636 01 66,fdotsenko@example.com
Височан,Андрій,Дмитрович,Чоловік,1976-12-06,Мовознавець,місто Армянськ,"шосе Слави, буд. 0 кв. 7, Борислав, 14945",458 20 02,hordii22@example.org
Талан,Герман,Олегович,Чоловік,1947-03-18,Льотчик,хутір Сторожинець,"парк Санаторний, буд. 8, Снігурівка, 78896",090 491 92 52,kovalenkovalerii@example.net
Шаблій,Людмила,Романівна,Жінка,2004-07-17,Мінералог,місто Обухів,"набережна Добровольців, буд. 5, Мостиська, 04648",+380 06 813-87-66,vzakharchenko@example.com
Гупало,Герман,Федорович,Чоловік,1966-05-30,Диригент,селище Тернопіль,"сквер Косий, буд. 082, Молочанськ, 23987",+380 05 343-89-22,liemelianenko@example.net
Засядько,Галина,Миколаївна,Жінка,1962-09-06,Фізик,селище Яготин,"вулиця Олександра Білостінного, буд. 5, Остер, 97401",+380 54 520-34-23,pylyphavrysh@example.net
Короленко,Августин,Максимович,Чоловік,1955-03-06,Економіст,хутір Старий Самбір,"узвіз Дача Ковалевського, буд. 472, Рава-Руська, 18097",811-25-09,panas80@example.net
Даньків,Святослава,Юріївна,Жінка,1971-08-20,Ді-джей,село Сокиряни,"шосе Приморський, буд. 9, Дубно, 30103",+380 (42) 746-88-62,varfolomii87@example.com
Сімашкевич,Давид,Романович,Чоловік,1977-11-11,Філолог,село Запоріжжя,"парк Василя Кандинського 4-й, буд. 58 кв. 52, Хрестівка, 48670",053 151 21 35,vdovenkomilena@example.org
Кабаненко,Наталія,Богданівна,Жінка,1976-02-18,Випробувач,село Вінниця,"парк Вільгельма Габсбурга, буд. 39, Білопілля, 21651",+380 (96) 044-32-64,orysia88@example.net
Шинкаренко,Микита,Ігорович,Чоловік,1977-09-29,Філолог,хутір Володимир-Волинський,"вулиця Восьмого березня 4-й, буд. 0, Новоград-Волинський, 73355",354-26-30,mholoborodko@example.com
Годунок,Михайлина,Миколаївна,Жінка,1946-11-19,Локсмайстер,хутір Жашків,"проспект Профспілкова, буд. 62, Решетилівка, 58204",329-02-99,avreliitsushko@example.com
Корпанюк,Євген,Дмитрович,Чоловік,1965-08-10,Музикант,місто Старобільськ,"вулиця Варненська, буд. 7, Білопілля, 50493",057 322 14 86,danna39@example.com
Оробець,Ярема,Олександрович,Чоловік,1964-07-02,Археолог,місто Кам'янець-Подільський,"набережна Джутовий, буд. 0, Косів, 29969",064 980 67 81,azar03@example.com
Рябовіл,Симон,Богданович,Чоловік,1981-01-18,Журналіст,місто Хмельницький,"проспект Люстдорфська дорога, буд. 8 кв. 69, Токмак, 17590",+380 61 328-58-92,erika17@example.org
Микитюк,Мирон,Петрович,Чоловік,1952-04-17,Музичний редактор,місто Суми,"вулиця Кладовищенська, буд. 618, Миргород, 65478",175 21 12,eduardshtokalo@example.org
Бабійчук,Дан,Петрович,Чоловік,1979-07-27,Підприємець,селище Великі Мости,"площа Василя Кандинського 2-й, буд. 08, Петрово-Красносілля, 63054",+380 (55) 537-26-25,ztverdokhlib@example.net
Затовканюк,Марʼяна,Тимофіївна,Жінка,1972-09-15,Диригент,селище Угнів,"узвіз Василя Кандинського, буд. 7 кв. 524, Деражня, 63287",779 84 42,tereshchenkodavyd@example.net
Терещенко,Альберт,Дмитрович,Чоловік,1966-07-13,Режисер,місто Часів Яр,"шосе Авіаторів, буд. 929 кв. 141, Шептицький, 07756",+380 55 522-53-24,ulubenets@example.net
Забара,Юстина,Максимівна,Жінка,1939-01-27,Мірошник,селище Луцьк,"набережна Лінія 29-та, буд. 5, Семенівка, 95836",089 810-03-67,viacheslav49@example.org
Чаленко,Тимофій,Юрійович,Чоловік,1941-04-23,Мовознавець,село Бобринець,"проспект Альпіністів, буд. 2 кв. 0, Заставна, 38744",080 597-97-26,ishchenkopylyp@example.com
Засуха,Лілія,Сергіївна,Жінка,1974-10-28,Паралегал,хутір Зборів,"проспект Тетяни Тесс, буд. 0 кв. 9, Харцизьк, 75602",035 474 69 56,lysenkofeofan@example.com
Шведченко,Богуслава,Георгіївна,Жінка,1977-01-30,Ґрунтознавець,місто Петрово-Красносілля,"проспект Ананьївська, буд. 55, Олешки, 47536",041 522 68 04,teodor30@example.com
Єрченко,Марта,Тимофіївна,Жінка,1950-09-16,Режисер,хутір Пустомити,"сквер Сортувальна 2-га, буд. 70 кв. 7, Берислав, 93068",536 82 08,fartym@example.org
Козак,Софія,Миколаївна,Жінка,2006-11-05,Фольклорист,місто Суходільськ,"узвіз Пироговська, буд. 5, Богуслав, 81345",+380 69 318 88 23,serhii21@example.org
Палій,Валерій,Юрійович,Чоловік,1957-10-24,Детектив,село Гола Пристань,"площа Кримська, буд. 3, Новоазовськ, 56450",285-62-97,amaliiarudyk@example.com
Верховинець,Оксенія,Олександрівна,Жінка,1967-04-15,Перекладач,селище Скадовськ,"сквер Курортний 6-й, буд. 391, Вінниця, 45369",085 419-74-14,symonenkovalentyn@example.net
Чайка,Ліза,Олегівна,Жінка,1954-06-24,Гінеколог,село Комарно,"площа Монгольська, буд. 9, Остер, 66182",022 345 83 10,liubov98@example.org
Саченко,Ліза,Володимирівна,Жінка,1959-09-01,Клоун,селище Кілія,"шосе Волинський, буд. 65 кв. 5, Добропілля, 04338",176 83 52,emiliiadzhun@example.org
Затула,Оксана,Георгіївна,Жінка,1971-08-23,Гірник,місто Новгород-Сіверський,"площа Лінія 35-та, буд. 17, Міусинськ, 39708",110-60-83,kadeniukanton@example.com
Овчаренко,Валентин,Георгійович,Чоловік,1956-08-11,Бібліограф,місто Бунге,"вулиця Яружний, буд. 7 кв. 00, Радивилів, 01849",+380 (46) 690-50-32,ihnatdavymuka@example.com
Худобʼяк,Тереза,Георгіївна,Жінка,1978-05-20,Геолог,селище Кальміуське,"шосе Гранатна, буд. 05, Буськ, 02252",+380 80 750-46-34,avrelii35@example.org
Кальченко,Левко,Богданович,Чоловік,1943-08-02,Фольклорист,село Корюківка,"вулиця Новопланівська, буд. 3 кв. 7, Святогірськ, 03567",278 27 27,frantsbaranets@example.com
Даценко,Єлисей,Георгійович,Чоловік,1980-01-13,Єгер,місто Коростишів,"сквер Лінія 51-ша, буд. 5, Корюківка, 21844",096 695 18 76,achubai@example.org
Луценко,Геннадій,Іванович,Чоловік,1989-01-25,Доцент,хутір Мирноград,"площа Академіка Векслера, буд. 315 кв. 425, Бровари, 05259",+380 45 826 32 33,tymofii18@example.org
Зарудна,Данна,Петрівна,Жінка,1945-01-22,Секретар,місто Хуст,"площа Слави, буд. 00, Малин, 90977",+380 28 310-27-07,opanas70@example.org
Верхола,Мартин,Іванович,Чоловік,1968-08-07,Водій,селище Світлодарськ,"шосе Восьмого Березня Лінія 1-ша, буд. 966, Тульчин, 43117",004 555-58-31,tbarannyk@example.org
Чаленко,Василь,Максимович,Чоловік,1940-02-29,Доцент,хутір Скалат,"парк Штурманська, буд. 3, Шепетівка, 81762",+380 (47) 288-85-52,onysymzasukha@example.com
Саченко,Хома,Володимирович,Чоловік,1948-12-19,Гірник,місто Старобільськ,"узвіз Сегедська, буд. 2, Соледар, 64079",+380 01 103-00-35,prokopovychpavlo@example.com
Гайденко,Захар,Сергійович,Чоловік,1947-10-11,Архітектор,селище Лубни,"шосе Травневий 5-й, буд. 9 кв. 05, Гребінка, 81470",489-68-26,tsarenkoleontii@example.net
Царенко,Алевтин,Васильович,Чоловік,2000-05-02,Сценарист,село Кремінна,"вулиця Соляний 5-й, буд. 967, Довжанськ, 37214",033 659 60 69,olha44@example.net
Гуцуляк,Симон,Володимирович,Чоловік,1948-07-28,Конструктор,селище Горішні Плавні,"парк Лїнія 1-ша, буд. 654 кв. 185, Андрушівка, 13696",080-08-33,solomonruban@example.org
Александренко,Болеслав,Григорович,Чоловік,1946-04-03,Модельєр,місто Новояворівськ,"набережна Балтський 7-й, буд. 5 кв. 90, Сіверськодонецьк, 75279",+380 47 194-93-00,iakiv19@example.net
Скиба,Олекса,Тимофійович,Чоловік,2003-01-06,Євнух,село Белз,"провулок Морський, буд. 008, Селидове, 28898",054 078-85-33,varvarashtepa@example.net
Сімашкевич,Стефан,Ігорович,Чоловік,1998-01-15,Стиліст,місто Новий Розділ,"набережна Чернігівська, буд. 1 кв. 434, Полтава, 03601",+380 57 951-08-97,ishchakorkhyp@example.org
Доценко,Лесь,Юрійович,Чоловік,1997-10-17,Мистецтвознавець,селище Голубівка,"вулиця Яна Длугоша, буд. 327 кв. 44, Єнакієве, 86188",506 22 40,rozaliiapetrenko@example.com
Вівчаренко,Леон,Миколайович,Чоловік,1966-09-11,Клоун,місто Суми,"парк Василя Кричевського, буд. 325, Іловайськ, 67796",091 80 96,viacheslav18@example.net
Дрозденко,Богуслав,Дмитрович,Чоловік,1945-05-26,Реабілітолог,селище Армянськ,"сквер Амбулаторний, буд. 06, Старий Крим, 88407",773-86-19,viacheslav48@example.net
Воблий,Роман,Георгійович,Чоловік,1987-01-02,Реставратор,місто Батурин,"сквер Творча, буд. 059 кв. 72, Приморськ, 42634",093 276 98 22,eteslia@example.net
Овчаренко,Роксолана,Федорівна,Жінка,1964-02-20,Письменник,хутір Ланівці,"набережна Скрипковий, буд. 8, Привілля, 44730",081 869 58 71,makariashchenko@example.net
Іваничук,Феофан,Петрович,Чоловік,1968-12-28,Археолог,село Приморськ,"узвіз Молоді, буд. 49, Отаманівка, 86161",+380 (46) 108-94-02,xshamrai@example.net
Масоха,Панас,Петрович,Чоловік,1941-03-02,Паблік рилейшнз,селище Мала Виска,"проспект Капітана Кузнецова, буд. 185 кв. 823, Стрий, 05957",279-91-29,allababiichuk@example.com
Ірванець,Златослава,Олександрівна,Жінка,1983-03-14,Музичний редактор,село П'ятихатки,"набережна Савицький, буд. 994, Таврійськ, 83122",+380 (70) 530-93-58,omalyshko@example.com
Тесля,Борислав,Олександрович,Чоловік,1959-12-26,Петрограф,хутір Вознесенівка,"проспект Старицького, буд. 20, Носівка, 97307",867 57 24,parmendeineko@example.net
Товстоліс,Мирослав,Миколайович,Чоловік,1995-06-29,Модельєр,місто Маріуполь,"провулок Квітки-Основ’яненка, буд. 34 кв. 0, Теребовля, 39085",043 011-27-61,iakivparasiuk@example.net
Чумаченко,Марко,Романович,Чоловік,1956-01-08,Петрограф,хутір Нікополь,"площа Михайлівська, буд. 031 кв. 1, Ананьїв, 64407",+380 18 198 27 98,zarudnyileonid@example.org
Вакуленко,Амалія,Петрівна,Жінка,1955-02-10,Музикознавець,село Білицьке,"проспект Ольги Благовидової, буд. 14 кв. 777, Отаманівка, 49272",+380 34 713-52-16,viktoriiaiarosh@example.net
Деряжна,Ольга,Романівна,Жінка,1944-06-11,Кур'єр,місто Часів Яр,"проспект 19-та Лінія, буд. 223, Буськ, 56555",+380 94 395-43-04,liuboviefymenko@example.com
Карпенко,Єлисавета,Олегівна,Жінка,1938-11-13,Бібліотекар,місто Ладижин,"вулиця Західний 4-й, буд. 3 кв. 6, Бучач, 95644",+380 54 195-46-53,eduardchumak@example.org
Стус,Леопольд,Павлович,Чоловік,1987-03-22,Скульптор,село Бобринець,"площа 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 023, Здолбунів, 34504",+380 29 489-41-02,nestor03@example.net
Левченко,Богданна,Андріївна,Жінка,1995-12-19,Будник,місто Верхньодніпровськ,"узвіз Балтський 5-й, буд. 30 кв. 7, Роздільна, 14621",622-59-00,prokhir99@example.net
Харченко,Захар,Петрович,Чоловік,1951-09-14,Електрослюсар,село Полонне,"сквер Нафтовиків, буд. 413 кв. 27, Старобільськ, 56857",445-27-78,uzatula@example.org
Баштан,Костянтин,Романович,Чоловік,2001-10-02,Краєзнавець,хутір Мелітополь,"проспект В’ячеслава Чорновола, буд. 395 кв. 07, Кам'янське, 63059",004 287 29 88,varvara05@example.com
Батуринець,Тетяна,Павлівна,Жінка,2001-12-21,Патологоанатом,хутір Прилуки,"вулиця Соляний 2-й, буд. 404, Гнівань, 45242",033 327-49-25,ubakumenko@example.net
Гаврюшенко,Володимира,Максимівна,Жінка,2004-08-30,Бібліотекар,селище Старокостянтинів,"провулок 12-та ст. Великого Фонтану пляж, буд. 281 кв. 500, Сновськ, 48235",+380 (70) 371-94-71,iaroslav81@example.net
Салій,Одарка,Іванівна,Жінка,1942-09-05,Дерун,хутір Бахчисарай,"проспект Немировича-Данченка, буд. 196 кв. 977, Камінь-Каширський, 65246",+380 22 400 57 27,solomiiavakarchuk@example.com
Малик,Данило,Богданович,Чоловік,1977-06-09,Бібліотекар,хутір Армянськ,"узвіз Адміральський, буд. 68 кв. 683, Соледар, 82143",017 900 29 78,oovsiienko@example.com
Нестеренко,Альбіна,Сергіївна,Жінка,1952-10-15,Менеджер,село Шепетівка,"провулок Ювілейний 2-й, буд. 71 кв. 067, Козятин, 26630",+380 (63) 117-08-23,iosyp43@example.com
Савенко,Мартин,Павлович,Чоловік,1974-09-03,Бізнесмен,селище Новий Розділ,"парк Парусна, буд. 0, Ніжин, 37004",074 877 44 86,marta13@example.org
Дубас,Степан,Тимофійович,Чоловік,2001-05-22,Складальник,селище Чорнобиль,"вулиця Петра Калнишевського, буд. 3, Шостка, 25012",+380 57 577 07 36,vasylyna13@example.net
Онуфрієнко,Станіслав,Ігорович,Чоловік,1950-06-05,Нотаріус,село Ірпінь,"узвіз Короткий, буд. 775 кв. 087, Рожище, 87495",+380 94 952 42 09,ostap56@example.net
Абрагамовський,Борислав,Іванович,Чоловік,1955-06-14,Бізнесмен,хутір Кобеляки,"набережна Путівна, буд. 439, Березне, 86212",+380 26 458 34 27,mzhalilo@example.net
Ємець,Світлана,Максимівна,Жінка,2003-07-16,Шериф,місто Баштанка,"шосе Аркаса Миколи, буд. 75, Ужгород, 47246",+380 66 598 08 18,zinchukfrants@example.com
Макаренко,Ярослава,Петрівна,Жінка,2006-05-19,Художник,село Шептицький,"вулиця Юннатів 2-й, буд. 70, Красилів, 98238",064 989-95-42,vladyslavirvanets@example.net
Жук,Йосип,Олегович,Чоловік,1966-11-12,Вчитель,селище Тернівка,"парк Металістів, буд. 50 кв. 316, Волочиськ, 19074",161 82 70,dkomar@example.org
Жарко,Валерій,Георгійович,Чоловік,1956-07-27,Фармацевт,місто Долина,"шосе Іони Отаманського, буд. 14 кв. 2, Устилуг, 28294",064 946-29-52,anastasiiastelmakh@example.com
Жадан,Євген,Олександрович,Чоловік,1999-08-05,Ґрунтознавець,селище Вижниця,"провулок Городня, буд. 871, Ясинувата, 95189",+380 79 918-94-18,androshchukoleksandr@example.net
Журавель,Гаврило,Григорович,Чоловік,1994-03-04,Реставратор,село Перемишляни,"узвіз Госпітальєрів, буд. 99 кв. 072, Керч, 59299",+380 96 660-26-10,iaremchukklavdiia@example.org
Макаренко,Августин,Тимофійович,Чоловік,1989-01-15,Електрослюсар,селище Судова Вишня,"провулок Латвійський узвіз, буд. 762, Городня, 82513",+380 55 213-01-71,lchervonenko@example.net
Яковенко,Емілія,Олександрівна,Жінка,1994-05-22,Перекладач,село Хуст,"вулиця Миколи Боровського, буд. 114, Нова Одеса, 15806",+380 (39) 282-33-15,ruslanhavryliuk@example.net
Пелех,Артем,Дмитрович,Чоловік,1972-03-16,Письменник,село Хмельницький,"проспект Дворникова, буд. 6, Охтирка, 49604",510 39 32,hunkosymon@example.org
Хмара,Аврелій,Ігорович,Чоловік,1997-06-22,Каскадер,хутір Валки,"площа Суперфосфатна, буд. 769, Яворів, 90417",516-16-00,nkyrylenko@example.net
Чередник,Іван,Володимирович,Чоловік,1953-05-10,Парфюмер,селище Новий Розділ,"площа Шептицького, буд. 9 кв. 483, Світловодськ, 24114",073 970 06 81,heorhii19@example.org
Бакуменко,Камілла,Романівна,Жінка,1982-11-26,Візажист,селище Кодима,"парк Мелодійний, буд. 20, Олександрівськ, 96417",+380 94 826-62-66,etereshchuk@example.net
Верхола,Дарина,Григорівна,Жінка,2000-07-18,Педагог,хутір Скалат,"набережна Цебриківська, буд. 75 кв. 52, Звенигородка, 22641",045 947-44-61,bohuslav15@example.com
Ярема,Василь,Миколайович,Чоловік,1943-09-10,Вчитель,місто Суми,"сквер 2-га Лінія Марії Демченко, буд. 25 кв. 9, Скадовськ, 13870",031 860-69-93,svitlanashutko@example.net
Твердохліб,Нестор,Федорович,Чоловік,1952-03-07,Прокурор,місто Шпола,"шосе Фахова, буд. 36, Харків, 25733",211 36 28,feofan28@example.net
Ґереґа,Панас,Тимофійович,Чоловік,1972-08-16,Інженер,місто Почаїв,"проспект Безіменний, буд. 6, Кам'янка-Бузька, 45615",429 60 88,vievtushok@example.com
Єрченко,Пармен,Максимович,Чоловік,1983-07-25,Електромонтажник,хутір Біляївка,"площа Світлий, буд. 9 кв. 81, Родинське, 93230",+380 (57) 734-04-08,uhaidenko@example.net
Деревʼянко,Пантелеймон,Олегович,Чоловік,2002-12-30,Психолог,селище Кагарлик,"сквер Канатний, буд. 1 кв. 513, Чернівці, 92332",+380 78 707 77 65,lbaturynets@example.org
Дрозд,Георгій,Богданович,Чоловік,2008-10-29,Художник,хутір Ворожба,"набережна Маячний, буд. 671, Ірміно, 01242",+380 16 263-25-98,malyshkoedyta@example.net
Авдєєнко,Давид,Тимофійович,Чоловік,1989-07-09,Петрограф,село Ходорів,"шосе Бондарна, буд. 890, Новоазовськ, 74794",475 94 89,eduard65@example.com
Андрієвич,Мартин,Петрович,Чоловік,1945-03-26,Юрист,село Решетилівка,"парк Новиков міст, буд. 3 кв. 566, Самбір, 36676",+380 (09) 809-32-31,vovkrostyslav@example.com
Конопленко,Наталія,Василівна,Жінка,1971-11-05,Журналіст,селище Кролевець,"узвіз Евлії Челебі, буд. 9 кв. 84, Зборів, 50859",755 56 22,danchukbohuslava@example.com
Лемешко,Зиновій,Максимович,Чоловік,1977-05-29,Музикант,хутір Суходільськ,"шосе Травневий 1-й, буд. 9, Христинівка, 92623",+380 56 724 95 62,cnalyvaiko@example.net
Дрозд,Валерій,Дмитрович,Чоловік,1955-02-24,Маркетолог,село Білицьке,"провулок Клинова, буд. 9 кв. 591, Євпаторія, 16149",+380 46 275-46-49,kamilla22@example.net
Єрьоменко,Златослава,Георгіївна,Жінка,1998-04-09,Патологоанатом,селище Конотоп,"сквер Амундсена, 2-й, буд. 2, Перещепине, 39906",076 920-84-15,drobiazkofedir@example.net
Притула,Ганна,Максимівна,Жінка,2006-01-01,Фармацевт,місто Острог,"проспект Східний 2-й, буд. 6 кв. 773, Новомиргород, 25379",034 429-34-83,iaroslavapavlyk@example.org
Голобородько,Анжела,Миколаївна,Жінка,1959-04-26,Промисловець,місто Ясинувата,"парк Карантинний узвіз, буд. 9, Щастя, 35396",022 607 68 69,masliakroman@example.com
Цюцюра,Симон,Олександрович,Чоловік,2006-01-09,Письменник,місто Тетіїв,"вулиця Панченка, буд. 37 кв. 7, Святогірськ, 74178",332 54 44,xriabovil@example.com
Коваленко,Дан,Юрійович,Чоловік,1996-03-27,Стропальник,місто Південне,"шосе Трибуни героїв, буд. 5 кв. 018, Прип'ять, 16749",+380 (15) 125-18-07,adampalii@example.com
Арсенич,Ірена,Юріївна,Жінка,1990-04-21,Бібліограф,село Мерефа,"провулок Крутоярська, буд. 4, Армянськ, 32629",+380 12 861-21-72,okseniia54@example.org
Верменич,Богданна,Юріївна,Жінка,1957-08-25,Шериф,село Бердичів,"проспект Садова 6-та, буд. 20 кв. 133, Нікополь, 68400",028 625 80 24,liza86@example.org
Архипенко,Костянтин,Олегович,Чоловік,1953-12-19,Агроном,хутір Українськ,"парк Добровольців, буд. 7 кв. 7, Бурштин, 85935",+380 97 036 17 16,riabchenkookhrim@example.com
Піддубний,Георгій,Ігорович,Чоловік,1986-07-19,Мистецтвознавець,село Турка,"шосе Йоганна Ансельма, буд. 91 кв. 3, Шептицький, 70473",011-63-82,akhudiak@example.net
Вакарчук,Олекса,Олександрович,Чоловік,1990-08-31,Сантехнік,село Самбір,"площа Старопортофранківська, буд. 525, Тячів, 87415",031 982 94 89,zgzhytskyi@example.net
Цимбал,Анастасія,Григорівна,Жінка,1945-08-07,Державний службовець,селище Буринь,"вулиця Подільська, буд. 295 кв. 3, Славута, 48504",+380 87 300-58-80,tytarenkoolha@example.org
